by_year_start_date,DISTRICT,SAFETY,TRUST
01/01/2019 12:00:00 AM,1,67.429722222222222,72.3575
01/01/2019 12:00:00 AM,2,58.525277777777778,54.790833333333333
01/01/2019 12:00:00 AM,3,50.256388888888889,49.0925
01/01/2019 12:00:00 AM,4,52.263333333333333,53.341111111111111
01/01/2019 12:00:00 AM,5,51.074722222222222,49.962222222222222
01/01/2019 12:00:00 AM,6,50.118333333333333,47.447777777777778
01/01/2019 12:00:00 AM,7,50.092777777777778,43.955555555555556
01/01/2019 12:00:00 AM,8,57.351944444444444,61.367222222222222
01/01/2019 12:00:00 AM,9,53.851944444444444,58.113888888888889
01/01/2019 12:00:00 AM,10,51.419166666666667,47.532777777777778
01/01/2019 12:00:00 AM,11,47.649166666666667,45.191388888888889
01/01/2019 12:00:00 AM,12,60.398333333333333,62.034166666666667
01/01/2019 12:00:00 AM,14,64.1925,61.859722222222222
01/01/2019 12:00:00 AM,15,49.346944444444444,46.651388888888889
01/01/2019 12:00:00 AM,16,70.267291666666667,74.632083333333333
01/01/2019 12:00:00 AM,17,66.446111111111111,67.560277777777778
01/01/2019 12:00:00 AM,18,66.528055555555556,73.489166666666667
01/01/2019 12:00:00 AM,19,68.078333333333333,69.544444444444444
01/01/2019 12:00:00 AM,20,68.435,67.92
01/01/2019 12:00:00 AM,22,62.455277777777778,63.178888888888889
01/01/2019 12:00:00 AM,24,65.197777777777778,65.193333333333333
01/01/2019 12:00:00 AM,25,59.476833333333333,62.032166666666667
01/01/2020 12:00:00 AM,1,56.733888888888889,72.039166666666667
01/01/2020 12:00:00 AM,2,60.064444444444444,59.643888888888889
01/01/2020 12:00:00 AM,3,50.941666666666667,48.841944444444444
01/01/2020 12:00:00 AM,4,52.551944444444444,57.401944444444444
01/01/2020 12:00:00 AM,5,53.146388888888889,56.414444444444444
01/01/2020 12:00:00 AM,6,53.952222222222222,51.232222222222222
01/01/2020 12:00:00 AM,7,48.6375,49.715833333333333
01/01/2020 12:00:00 AM,8,54.755555555555556,71.808888888888889
01/01/2020 12:00:00 AM,9,52.888055555555556,64.659166666666667
01/01/2020 12:00:00 AM,10,48.546388888888889,55.037777777777778
01/01/2020 12:00:00 AM,11,47.189444444444444,52.813055555555556
01/01/2020 12:00:00 AM,12,57.458611111111111,64.404166666666667
01/01/2020 12:00:00 AM,14,58.300555555555556,66.390555555555556
01/01/2020 12:00:00 AM,15,47.551111111111111,54.28
01/01/2020 12:00:00 AM,16,66.67125,79.797083333333333
01/01/2020 12:00:00 AM,17,62.748055555555556,71.568888888888889
01/01/2020 12:00:00 AM,18,58.430277777777778,75.718611111111111
01/01/2020 12:00:00 AM,19,63.986944444444444,70.439722222222222
01/01/2020 12:00:00 AM,20,66.931388888888889,68.355
01/01/2020 12:00:00 AM,22,59.057222222222222,69.097222222222222
01/01/2020 12:00:00 AM,24,61.271111111111111,64.858055555555556
01/01/2020 12:00:00 AM,25,58.570333333333333,67.270166666666667
01/01/2021 12:00:00 AM,1,52.980277777777778,67.777777777777778
01/01/2021 12:00:00 AM,2,51.197777777777778,54.281388888888889
01/01/2021 12:00:00 AM,3,47.506388888888889,48.641944444444444
01/01/2021 12:00:00 AM,4,50.132777777777778,54.809722222222222
01/01/2021 12:00:00 AM,5,45.274722222222222,51.669722222222222
01/01/2021 12:00:00 AM,6,45.578611111111111,47.996111111111111
01/01/2021 12:00:00 AM,7,45.418888888888889,53.608055555555556
01/01/2021 12:00:00 AM,8,52.699166666666667,65.885555555555556
01/01/2021 12:00:00 AM,9,48.648055555555556,60.516666666666667
01/01/2021 12:00:00 AM,10,47.2075,53.643333333333333
01/01/2021 12:00:00 AM,11,46.206388888888889,48.381388888888889
01/01/2021 12:00:00 AM,12,51.704166666666667,57.741944444444444
01/01/2021 12:00:00 AM,14,61.545555555555556,57.213611111111111
01/01/2021 12:00:00 AM,15,52.632777777777778,56.932777777777778
01/01/2021 12:00:00 AM,16,63.570208333333333,77.570625
01/01/2021 12:00:00 AM,17,61.859166666666667,64.508888888888889
01/01/2021 12:00:00 AM,18,52.809722222222222,70.524166666666667
01/01/2021 12:00:00 AM,19,62.7,63.161388888888889
01/01/2021 12:00:00 AM,20,64.935555555555556,60.716666666666667
01/01/2021 12:00:00 AM,22,55.886111111111111,67.583333333333333
01/01/2021 12:00:00 AM,24,59.973055555555556,63.136666666666667
01/01/2021 12:00:00 AM,25,56.2235,63.943166666666667
01/01/2022 12:00:00 AM,1,58.067222222222222,61.115277777777778
01/01/2022 12:00:00 AM,2,57.121111111111111,56.149444444444444
01/01/2022 12:00:00 AM,3,50.353055555555556,50.760833333333333
01/01/2022 12:00:00 AM,4,54.049444444444444,52.649444444444444
01/01/2022 12:00:00 AM,5,55.558055555555556,50.481111111111111
01/01/2022 12:00:00 AM,6,51.735555555555556,50.505
01/01/2022 12:00:00 AM,7,52.842777777777778,49.946944444444444
01/01/2022 12:00:00 AM,8,57.836944444444444,60.960833333333333
01/01/2022 12:00:00 AM,9,56.805,58.056944444444444
01/01/2022 12:00:00 AM,10,53.987777777777778,53.663055555555556
01/01/2022 12:00:00 AM,11,54.185,50.423055555555556
01/01/2022 12:00:00 AM,12,56.396388888888889,57.608055555555556
01/01/2022 12:00:00 AM,14,60.113888888888889,59.402777777777778
01/01/2022 12:00:00 AM,15,54.093333333333333,51.664444444444444
01/01/2022 12:00:00 AM,16,64.550833333333333,69.336458333333333
01/01/2022 12:00:00 AM,17,62.7625,63.073333333333333
01/01/2022 12:00:00 AM,18,62.083333333333333,65.964722222222222
01/01/2022 12:00:00 AM,19,61.283055555555556,62.618055555555556
01/01/2022 12:00:00 AM,20,61.099444444444444,59.550833333333333
01/01/2022 12:00:00 AM,22,57.788333333333333,59.873333333333333
01/01/2022 12:00:00 AM,24,58.233888888888889,60.329722222222222
01/01/2022 12:00:00 AM,25,60.2,57.844333333333333
01/01/2023 12:00:00 AM,1,68.660833333333333,68.750555555555556
01/01/2023 12:00:00 AM,2,59.397777777777778,57.436111111111111
01/01/2023 12:00:00 AM,3,52.805555555555556,50.637222222222222
01/01/2023 12:00:00 AM,4,54.326944444444444,54.448611111111111
01/01/2023 12:00:00 AM,5,59.356111111111111,59.069166666666667
01/01/2023 12:00:00 AM,6,54.382777777777778,53.163611111111111
01/01/2023 12:00:00 AM,7,52.315277777777778,49.339166666666667
01/01/2023 12:00:00 AM,8,60.4975,62.714166666666667
01/01/2023 12:00:00 AM,9,59.0125,60.436111111111111
