BRANCH,year,month,circulation_num
Sherman Park,2020,JANUARY,411
Patron Initiated renewals (online),2020,JANUARY,47042
Walker,2021,JANUARY,800
Albany Park,2021,JANUARY,4274
Avalon,2021,JANUARY,1342
Brainerd,2021,JANUARY,311
Oriole Park,2021,JANUARY,4375
Little Italy,2021,JANUARY,3978
Edgebrook,2021,JANUARY,6378
Kelly,2021,JANUARY,323
Edgewater,2021,JANUARY,11193
Near North,2021,JANUARY,7399
Canaryville,2021,JANUARY,0
"Daley, Richard J.- Bridgeport",2021,JANUARY,4034
Manning,2021,JANUARY,0
Portage-Cragin,2021,JANUARY,3040
"Whitney M. Young, Jr.",2021,JANUARY,601
Greater Grand Crossing,2021,JANUARY,336
Auto-Renewals,2021,JANUARY,671609
Scottsdale,2021,JANUARY,984
Altgeld,2021,JANUARY,127
West Lawn,2021,JANUARY,1174
Back of the Yards,2021,JANUARY,856
Rogers Park,2021,JANUARY,4582
Garfield Ridge,2021,JANUARY,2437
King,2021,JANUARY,845
Water Works,2021,JANUARY,0
"Daley, Richard M.- W Humboldt",2021,JANUARY,1541
Humboldt Park,2021,JANUARY,3107
Sulzer Regional Library,2021,JANUARY,22742
Blackstone,2021,JANUARY,6012
North Austin,2021,JANUARY,610
West Town,2021,JANUARY,3631
Budlong Woods,2021,JANUARY,5277
Lincoln Park,2021,JANUARY,8658
West Englewood,2021,JANUARY,355
Archer Heights,2021,JANUARY,1852
Hegewisch,2021,JANUARY,823
Independence,2021,JANUARY,5069
Lozano,2021,JANUARY,1823
South Shore,2021,JANUARY,687
Chinatown,2021,JANUARY,3460
Douglass,2021,JANUARY,366
Logan Square,2021,JANUARY,7374
Roden,2021,JANUARY,3850
Galewood-Mont Clare,2021,JANUARY,0
West Belmont,2021,JANUARY,2877
Bucktown-Wicker Park,2021,JANUARY,7291
North Pulaski,2021,JANUARY,876
McKinley Park,2021,JANUARY,127
Downloadable Media,2021,JANUARY,217891
West Pullman,2021,JANUARY,562
Beverly,2021,JANUARY,2827
Legler Regional,2021,JANUARY,344
Toman,2021,JANUARY,1746
Austin,2021,JANUARY,680
Wrightwood-Ashburn,2021,JANUARY,597
Jefferson Park,2021,JANUARY,3868
Mayfair,2021,JANUARY,2396
South Chicago,2021,JANUARY,154
Clearing,2021,JANUARY,1667
Merlo,2021,JANUARY,7473
Uptown,2021,JANUARY,6972
Chicago Lawn,2021,JANUARY,1111
Harold Washington Library Center,2021,JANUARY,20965
Brighton Park,2021,JANUARY,1491
West Chicago Avenue,2021,JANUARY,155
Little Village,2021,JANUARY,1041
Lincoln Belmont,2021,JANUARY,9936
Gage Park,2021,JANUARY,0
Northtown,2021,JANUARY,9320
Dunning,2021,JANUARY,3229
Bezazian,2021,JANUARY,162
West Loop,2021,JANUARY,3468
Pullman,2021,JANUARY,222
Patron Initiated renewals (automated phone),2021,JANUARY,494
Jeffery Manor,2021,JANUARY,267
Hall,2021,JANUARY,6
Mount Greenwood,2021,JANUARY,3330
Coleman,2021,JANUARY,836
Austin-Irving,2021,JANUARY,4715
Woodson Regional Library,2021,JANUARY,2020
Thurgood Marshall,2021,JANUARY,723
Chicago Bee,2021,JANUARY,595
Vodak-East Side,2021,JANUARY,1091
Sherman Park,2021,JANUARY,158
Patron Initiated renewals (online),2021,JANUARY,32827
West Chicago Avenue,2022,JANUARY,230
"Whitney M. Young, Jr.",2022,JANUARY,674
Downloadable Media,2022,JANUARY,210184
Woodson Regional Library,2022,JANUARY,1891
Beverly,2022,JANUARY,3164
Archer Heights,2022,JANUARY,2341
Manning,2022,JANUARY,574
Blackstone,2022,JANUARY,7234
Portage-Cragin,2022,JANUARY,3109
West Belmont,2022,JANUARY,2996
Avalon,2022,JANUARY,1236
Edgewater,2022,JANUARY,10727
South Shore,2022,JANUARY,836
Legler Regional,2022,JANUARY,453
Hall,2022,JANUARY,611
Back of the Yards,2022,JANUARY,771
Vodak-East Side,2022,JANUARY,1472
Mayfair,2022,JANUARY,2572
Auto-Renewals,2022,JANUARY,511436
Dunning,2022,JANUARY,2971
West Pullman,2022,JANUARY,592
Jefferson Park,2022,JANUARY,5166
Sherman Park,2022,JANUARY,119
Altgeld,2022,JANUARY,150
North Austin,2022,JANUARY,477
Little Village,2022,JANUARY,1400
Near North,2022,JANUARY,7192
Water Works,2022,JANUARY,2506
Uptown,2022,JANUARY,5798
Patron Initiated renewals (automated phone),2022,JANUARY,890
Bucktown-Wicker Park,2022,JANUARY,8411
Jeffery Manor,2022,JANUARY,346
Albany Park,2022,JANUARY,5561
West Englewood,2022,JANUARY,365
Northtown,2022,JANUARY,8393
West Lawn,2022,JANUARY,548
King,2022,JANUARY,1033
"Daley, Richard M.- W Humboldt",2022,JANUARY,1275
Lozano,2022,JANUARY,1952
Merlo,2022,JANUARY,8823
Little Italy,2022,JANUARY,3823
Canaryville,2022,JANUARY,1035
Independence,2022,JANUARY,6271
Austin,2022,JANUARY,521
Scottsdale,2022,JANUARY,1298
Lincoln Belmont,2022,JANUARY,12262
Walker,2022,JANUARY,979
North Pulaski,2022,JANUARY,973
Logan Square,2022,JANUARY,10060
Austin-Irving,2022,JANUARY,5054
Pullman,2022,JANUARY,282
Wrightwood-Ashburn,2022,JANUARY,744
Budlong Woods,2022,JANUARY,5948
Chicago Lawn,2022,JANUARY,1376
Talking Book and Braille downloadable,2022,JANUARY,2337
Coleman,2022,JANUARY,759
Humboldt Park,2022,JANUARY,3418
Douglass,2022,JANUARY,273
Clearing,2022,JANUARY,1712
Edgebrook,2022,JANUARY,6738
Roden,2022,JANUARY,4382
Harold Washington Library Center,2022,JANUARY,22510
Oriole Park,2022,JANUARY,4632
Garfield Ridge,2022,JANUARY,3017
Patron Initiated renewals (online),2022,JANUARY,27720
Gage Park,2022,JANUARY,309
Hegewisch,2022,JANUARY,776
Lincoln Park,2022,JANUARY,11413
Greater Grand Crossing,2022,JANUARY,509
McKinley Park,2022,JANUARY,3720
"Daley, Richard J.- Bridgeport",2022,JANUARY,0
West Loop,2022,JANUARY,4213
Bezazian,2022,JANUARY,6392
Toman,2022,JANUARY,1737
Thurgood Marshall,2022,JANUARY,786
Sulzer Regional Library,2022,JANUARY,25207
Rogers Park,2022,JANUARY,6702
Galewood-Mont Clare,2022,JANUARY,0
Kelly,2022,JANUARY,443
West Town,2022,JANUARY,4375
Mount Greenwood,2022,JANUARY,3335
Chinatown,2022,JANUARY,4795
Brainerd,2022,JANUARY,255
Brighton Park,2022,JANUARY,1394
South Chicago,2022,JANUARY,496
Chicago Bee,2022,JANUARY,799
Walker,2023,JANUARY,1198
Albany Park,2023,JANUARY,5420
Avalon,2023,JANUARY,1243
Brainerd,2023,JANUARY,325
Oriole Park,2023,JANUARY,4964
Little Italy,2023,JANUARY,4132
Edgebrook,2023,JANUARY,6680
Kelly,2023,JANUARY,370
Edgewater,2023,JANUARY,10867
Near North,2023,JANUARY,6316
Canaryville,2023,JANUARY,993
"Daley, Richard J.- Bridgeport",2023,JANUARY,3282
Manning,2023,JANUARY,1132
Portage-Cragin,2023,JANUARY,3844
"Whitney M. Young, Jr.",2023,JANUARY,704
Greater Grand Crossing,2023,JANUARY,516
Auto-Renewals,2023,JANUARY,580360
Scottsdale,2023,JANUARY,1268
Altgeld,2023,JANUARY,115
West Lawn,2023,JANUARY,1649
Back of the Yards,2023,JANUARY,989
Rogers Park,2023,JANUARY,6712
Talking Book and Braille downloadable,2023,JANUARY,2903
Garfield Ridge,2023,JANUARY,3182
King,2023,JANUARY,1091
Water Works,2023,JANUARY,3019
Downloadable Media,2023,JANUARY,269855
"Daley, Richard M.- W Humboldt",2023,JANUARY,1294
Humboldt Park,2023,JANUARY,3690
Sulzer Regional Library,2023,JANUARY,25585
Blackstone,2023,JANUARY,6444
North Austin,2023,JANUARY,482
West Town,2023,JANUARY,4932
Budlong Woods,2023,JANUARY,6130
Lincoln Park,2023,JANUARY,11534
West Englewood,2023,JANUARY,317
Archer Heights,2023,JANUARY,2014
Hegewisch,2023,JANUARY,913
Independence,2023,JANUARY,6927
Lozano,2023,JANUARY,2246
South Shore,2023,JANUARY,856
Chinatown,2023,JANUARY,4299
Douglass,2023,JANUARY,350
Logan Square,2023,JANUARY,10273
Roden,2023,JANUARY,4708
Galewood-Mont Clare,2023,JANUARY,0
West Belmont,2023,JANUARY,3168
Bucktown-Wicker Park,2023,JANUARY,8392
North Pulaski,2023,JANUARY,1316
McKinley Park,2023,JANUARY,2620
West Pullman,2023,JANUARY,845
Beverly,2023,JANUARY,3252
Legler Regional,2023,JANUARY,616
Toman,2023,JANUARY,1955
Austin,2023,JANUARY,690
Wrightwood-Ashburn,2023,JANUARY,658
Jefferson Park,2023,JANUARY,5079
Mayfair,2023,JANUARY,2433
South Chicago,2023,JANUARY,732
Clearing,2023,JANUARY,1999
Merlo,2023,JANUARY,9580
Uptown,2023,JANUARY,5335
Chicago Lawn,2023,JANUARY,1440
Harold Washington Library Center,2023,JANUARY,24096
Brighton Park,2023,JANUARY,1340
West Chicago Avenue,2023,JANUARY,657
Little Village,2023,JANUARY,1427
Lincoln Belmont,2023,JANUARY,10818
Gage Park,2023,JANUARY,753
Northtown,2023,JANUARY,7701
Dunning,2023,JANUARY,3775
Bezazian,2023,JANUARY,6248
West Loop,2023,JANUARY,4975
Pullman,2023,JANUARY,411
Patron Initiated renewals (automated phone),2023,JANUARY,474
Jeffery Manor,2023,JANUARY,384
Hall,2023,JANUARY,626
Mount Greenwood,2023,JANUARY,3760
Coleman,2023,JANUARY,944
Austin-Irving,2023,JANUARY,5561
Woodson Regional Library,2023,JANUARY,2027
Thurgood Marshall,2023,JANUARY,569
Chicago Bee,2023,JANUARY,839
Vodak-East Side,2023,JANUARY,1488
Sherman Park,2023,JANUARY,290
Patron Initiated renewals (online),2023,JANUARY,27476
Albany Park,2019,FEBRUARY,7614
Altgeld,2019,FEBRUARY,326
Archer Heights,2019,FEBRUARY,5019
Austin,2019,FEBRUARY,590
Austin-Irving,2019,FEBRUARY,9764
Avalon,2019,FEBRUARY,2836
Back of the Yards,2019,FEBRUARY,1856
Beverly,2019,FEBRUARY,4035
Bezazian,2019,FEBRUARY,7113
Blackstone,2019,FEBRUARY,7477
Brainerd,2019,FEBRUARY,623
Brighton Park,2019,FEBRUARY,3471
Bucktown-Wicker Park,2019,FEBRUARY,8309
Budlong Woods,2019,FEBRUARY,8935
Canaryville,2019,FEBRUARY,1426
Chicago Bee,2019,FEBRUARY,991
Chicago Lawn,2019,FEBRUARY,2415
Chinatown,2019,FEBRUARY,7775
Clearing,2019,FEBRUARY,2530
Coleman,2019,FEBRUARY,2446
"Daley, Richard J.",2019,FEBRUARY,4497
"Daley, Richard M.",2019,FEBRUARY,2471
Douglass,2019,FEBRUARY,0
Dunning,2019,FEBRUARY,4305
Edgebrook,2019,FEBRUARY,8489
Edgewater,2019,FEBRUARY,13730
Gage Park,2019,FEBRUARY,825
Galewood-Mont Clare,2019,FEBRUARY,640
Garfield Ridge,2019,FEBRUARY,4318
Greater Grand Crossing,2019,FEBRUARY,1054
Hall,2019,FEBRUARY,1028
HAROLD WASHINGTON LIBRARY CENTER,2019,FEBRUARY,46112
Hegewisch,2019,FEBRUARY,1573
Humboldt Park,2019,FEBRUARY,4464
Independence,2019,FEBRUARY,6993
Jefferson Park,2019,FEBRUARY,94
Jeffery Manor,2019,FEBRUARY,603
Kelly,2019,FEBRUARY,730
King,2019,FEBRUARY,1464
Legler Regional,2019,FEBRUARY,767
Lincoln Belmont,2019,FEBRUARY,11718
Lincoln Park,2019,FEBRUARY,9336
Little Italy,2019,FEBRUARY,3975
Little Village,2019,FEBRUARY,3106
Logan Square,2019,FEBRUARY,9873
Lozano,2019,FEBRUARY,3346
Manning,2019,FEBRUARY,1729
Mayfair,2019,FEBRUARY,3826
McKinley Park,2019,FEBRUARY,4649
Merlo,2019,FEBRUARY,6583
Mount Greenwood,2019,FEBRUARY,4637
Near North,2019,FEBRUARY,7589
North Austin,2019,FEBRUARY,821
North Pulaski,2019,FEBRUARY,2106
Northtown,2019,FEBRUARY,45
Oriole Park,2019,FEBRUARY,5265
Portage-Cragin,2019,FEBRUARY,5363
Pullman,2019,FEBRUARY,1072
Roden,2019,FEBRUARY,5749
Rogers Park,2019,FEBRUARY,10039
Scottsdale,2019,FEBRUARY,1744
Sherman Park,2019,FEBRUARY,593
South Chicago,2019,FEBRUARY,1548
South Shore,2019,FEBRUARY,511
Sulzer Regional Library,2019,FEBRUARY,29305
Thurgood Marshall,2019,FEBRUARY,1936
Toman,2019,FEBRUARY,4176
Uptown,2019,FEBRUARY,5991
Vodak-East Side,2019,FEBRUARY,2577
Walker,2019,FEBRUARY,1481
Water Works,2019,FEBRUARY,3801
West Belmont,2019,FEBRUARY,4986
West Chicago Avenue,2019,FEBRUARY,767
West Englewood,2019,FEBRUARY,940
West Lawn,2019,FEBRUARY,2631
West Loop,2019,FEBRUARY,5386
West Pullman,2019,FEBRUARY,1439
West Town,2019,FEBRUARY,4166
"Whitney M. Young, Jr.",2019,FEBRUARY,1496
Woodson Regional Library,2019,FEBRUARY,5034
Wrightwood-Ashburn,2019,FEBRUARY,1322
Downloadable Media,2019,FEBRUARY,136133
Online Renewals,2019,FEBRUARY,306094
Itivia Renewals,2019,FEBRUARY,3170
"Whitney M. Young, Jr.",2020,FEBRUARY,1655
Auto-Renewals,2020,FEBRUARY,534965
Walker,2020,FEBRUARY,1084
Albany Park,2020,FEBRUARY,6338
Avalon,2020,FEBRUARY,2244
Brainerd,2020,FEBRUARY,450
Oriole Park,2020,FEBRUARY,4772
Little Italy,2020,FEBRUARY,4915
Edgebrook,2020,FEBRUARY,6924
Kelly,2020,FEBRUARY,773
Edgewater,2020,FEBRUARY,13235
Near North,2020,FEBRUARY,7896
Canaryville,2020,FEBRUARY,1571
