BRANCH,year,month,circulation_num
Little Village,2022,FEBRUARY,1168
Near North,2022,FEBRUARY,6226
Water Works,2022,FEBRUARY,2130
Uptown,2022,FEBRUARY,4934
Patron Initiated renewals (automated phone),2022,FEBRUARY,708
Bucktown-Wicker Park,2022,FEBRUARY,7519
Jeffery Manor,2022,FEBRUARY,487
Albany Park,2022,FEBRUARY,5082
West Englewood,2022,FEBRUARY,379
Northtown,2022,FEBRUARY,7872
West Lawn,2022,FEBRUARY,1123
King,2022,FEBRUARY,959
"Daley, Richard M.- W Humboldt",2022,FEBRUARY,1279
Lozano,2022,FEBRUARY,2025
Merlo,2022,FEBRUARY,8172
Little Italy,2022,FEBRUARY,3291
Canaryville,2022,FEBRUARY,1058
Independence,2022,FEBRUARY,5590
Austin,2022,FEBRUARY,576
Scottsdale,2022,FEBRUARY,1072
Lincoln Belmont,2022,FEBRUARY,1744
Walker,2022,FEBRUARY,939
North Pulaski,2022,FEBRUARY,782
Logan Square,2022,FEBRUARY,9199
Austin-Irving,2022,FEBRUARY,4857
Pullman,2022,FEBRUARY,214
Wrightwood-Ashburn,2022,FEBRUARY,581
Budlong Woods,2022,FEBRUARY,5600
Chicago Lawn,2022,FEBRUARY,1235
Talking Book and Braille downloadable,2022,FEBRUARY,2228
Coleman,2022,FEBRUARY,751
Humboldt Park,2022,FEBRUARY,2726
Douglass,2022,FEBRUARY,447
Clearing,2022,FEBRUARY,1563
Edgebrook,2022,FEBRUARY,5972
Roden,2022,FEBRUARY,3717
Harold Washington Library Center,2022,FEBRUARY,20712
Oriole Park,2022,FEBRUARY,4346
Garfield Ridge,2022,FEBRUARY,2750
Patron Initiated renewals (online),2022,FEBRUARY,24876
Gage Park,2022,FEBRUARY,326
Hegewisch,2022,FEBRUARY,756
Lincoln Park,2022,FEBRUARY,10360
Greater Grand Crossing,2022,FEBRUARY,477
McKinley Park,2022,FEBRUARY,3313
"Daley, Richard J.- Bridgeport",2022,FEBRUARY,0
West Loop,2022,FEBRUARY,3663
Bezazian,2022,FEBRUARY,5288
Toman,2022,FEBRUARY,1666
Thurgood Marshall,2022,FEBRUARY,565
Sulzer Regional Library,2022,FEBRUARY,25276
Rogers Park,2022,FEBRUARY,5608
Galewood-Mont Clare,2022,FEBRUARY,0
Kelly,2022,FEBRUARY,461
West Town,2022,FEBRUARY,3887
Mount Greenwood,2022,FEBRUARY,2902
Chinatown,2022,FEBRUARY,4258
Brainerd,2022,FEBRUARY,264
Brighton Park,2022,FEBRUARY,1321
South Chicago,2022,FEBRUARY,528
Chicago Bee,2022,FEBRUARY,543
Walker,2023,FEBRUARY,2126
Albany Park,2023,FEBRUARY,4713
Avalon,2023,FEBRUARY,1302
Brainerd,2023,FEBRUARY,243
Oriole Park,2023,FEBRUARY,4765
Little Italy,2023,FEBRUARY,3405
Edgebrook,2023,FEBRUARY,5868
Kelly,2023,FEBRUARY,285
Edgewater,2023,FEBRUARY,10097
Near North,2023,FEBRUARY,5969
Canaryville,2023,FEBRUARY,847
"Daley, Richard J.- Bridgeport",2023,FEBRUARY,3239
Manning,2023,FEBRUARY,1067
Portage-Cragin,2023,FEBRUARY,3380
"Whitney M. Young, Jr.",2023,FEBRUARY,654
Greater Grand Crossing,2023,FEBRUARY,369
Auto-Renewals,2023,FEBRUARY,504281
Scottsdale,2023,FEBRUARY,1123
Altgeld,2023,FEBRUARY,123
West Lawn,2023,FEBRUARY,1448
Back of the Yards,2023,FEBRUARY,889
Rogers Park,2023,FEBRUARY,5916
Talking Book and Braille downloadable,2023,FEBRUARY,2567
Garfield Ridge,2023,FEBRUARY,2874
King,2023,FEBRUARY,1052
Water Works,2023,FEBRUARY,2690
Downloadable Media,2023,FEBRUARY,242473
"Daley, Richard M.- W Humboldt",2023,FEBRUARY,1006
Humboldt Park,2023,FEBRUARY,3457
Sulzer Regional Library,2023,FEBRUARY,24380
Blackstone,2023,FEBRUARY,6191
North Austin,2023,FEBRUARY,501
West Town,2023,FEBRUARY,4197
Budlong Woods,2023,FEBRUARY,5793
Lincoln Park,2023,FEBRUARY,10578
West Englewood,2023,FEBRUARY,299
Archer Heights,2023,FEBRUARY,2263
Hegewisch,2023,FEBRUARY,843
Independence,2023,FEBRUARY,6151
Lozano,2023,FEBRUARY,2241
South Shore,2023,FEBRUARY,778
Chinatown,2023,FEBRUARY,3882
Douglass,2023,FEBRUARY,323
Logan Square,2023,FEBRUARY,9099
Roden,2023,FEBRUARY,4607
Galewood-Mont Clare,2023,FEBRUARY,0
West Belmont,2023,FEBRUARY,2993
Bucktown-Wicker Park,2023,FEBRUARY,8117
North Pulaski,2023,FEBRUARY,1027
McKinley Park,2023,FEBRUARY,2626
West Pullman,2023,FEBRUARY,783
Beverly,2023,FEBRUARY,3380
Legler Regional,2023,FEBRUARY,530
Toman,2023,FEBRUARY,1687
Austin,2023,FEBRUARY,615
Wrightwood-Ashburn,2023,FEBRUARY,683
Jefferson Park,2023,FEBRUARY,5029
Mayfair,2023,FEBRUARY,2421
South Chicago,2023,FEBRUARY,828
Clearing,2023,FEBRUARY,1900
Merlo,2023,FEBRUARY,8280
Uptown,2023,FEBRUARY,5244
Chicago Lawn,2023,FEBRUARY,926
Harold Washington Library Center,2023,FEBRUARY,21200
Brighton Park,2023,FEBRUARY,1591
West Chicago Avenue,2023,FEBRUARY,500
Little Village,2023,FEBRUARY,1351
Lincoln Belmont,2023,FEBRUARY,9944
Gage Park,2023,FEBRUARY,692
Northtown,2023,FEBRUARY,7093
Dunning,2023,FEBRUARY,3254
Bezazian,2023,FEBRUARY,5796
West Loop,2023,FEBRUARY,4284
Pullman,2023,FEBRUARY,332
Patron Initiated renewals (automated phone),2023,FEBRUARY,338
Jeffery Manor,2023,FEBRUARY,271
Hall,2023,FEBRUARY,562
Mount Greenwood,2023,FEBRUARY,395
Coleman,2023,FEBRUARY,861
Austin-Irving,2023,FEBRUARY,5035
Woodson Regional Library,2023,FEBRUARY,2217
Thurgood Marshall,2023,FEBRUARY,768
Chicago Bee,2023,FEBRUARY,806
Vodak-East Side,2023,FEBRUARY,1852
Sherman Park,2023,FEBRUARY,282
Patron Initiated renewals (online),2023,FEBRUARY,25759
Albany Park,2019,MARCH,8460
Altgeld,2019,MARCH,332
Archer Heights,2019,MARCH,5417
Austin,2019,MARCH,706
Austin-Irving,2019,MARCH,10845
Avalon,2019,MARCH,3086
Back of the Yards,2019,MARCH,2091
Beverly,2019,MARCH,4177
Bezazian,2019,MARCH,8426
Blackstone,2019,MARCH,9197
Brainerd,2019,MARCH,649
Brighton Park,2019,MARCH,4160
Bucktown-Wicker Park,2019,MARCH,9764
Budlong Woods,2019,MARCH,9106
Canaryville,2019,MARCH,1735
Chicago Bee,2019,MARCH,936
Chicago Lawn,2019,MARCH,2883
Chinatown,2019,MARCH,9347
Clearing,2019,MARCH,2557
Coleman,2019,MARCH,2394
"Daley, Richard J.",2019,MARCH,5730
"Daley, Richard M.",2019,MARCH,2734
Douglass,2019,MARCH,4
Dunning,2019,MARCH,4361
Edgebrook,2019,MARCH,9174
Edgewater,2019,MARCH,14560
Gage Park,2019,MARCH,1048
Galewood-Mont Clare,2019,MARCH,856
Garfield Ridge,2019,MARCH,4643
Greater Grand Crossing,2019,MARCH,1424
Hall,2019,MARCH,1323
HAROLD WASHINGTON LIBRARY CENTER,2019,MARCH,52568
Hegewisch,2019,MARCH,1733
Humboldt Park,2019,MARCH,5367
Independence,2019,MARCH,8700
Jefferson Park,2019,MARCH,0
Jeffery Manor,2019,MARCH,632
Kelly,2019,MARCH,711
King,2019,MARCH,1733
Legler Regional,2019,MARCH,701
Lincoln Belmont,2019,MARCH,15218
Lincoln Park,2019,MARCH,11605
Little Italy,2019,MARCH,6130
Little Village,2019,MARCH,3354
Logan Square,2019,MARCH,11488
Lozano,2019,MARCH,3974
Manning,2019,MARCH,1758
Mayfair,2019,MARCH,4475
McKinley Park,2019,MARCH,5101
Merlo,2019,MARCH,1
Mount Greenwood,2019,MARCH,4949
Near North,2019,MARCH,8325
North Austin,2019,MARCH,735
North Pulaski,2019,MARCH,2397
Northtown,2019,MARCH,9413
Oriole Park,2019,MARCH,6103
Portage-Cragin,2019,MARCH,6671
Pullman,2019,MARCH,1052
Roden,2019,MARCH,6976
Rogers Park,2019,MARCH,10648
Scottsdale,2019,MARCH,2184
Sherman Park,2019,MARCH,540
South Chicago,2019,MARCH,1480
South Shore,2019,MARCH,7
Sulzer Regional Library,2019,MARCH,33438
Thurgood Marshall,2019,MARCH,1730
Toman,2019,MARCH,4282
Uptown,2019,MARCH,7361
Vodak-East Side,2019,MARCH,2948
Walker,2019,MARCH,1480
Water Works,2019,MARCH,4478
West Belmont,2019,MARCH,5554
West Chicago Avenue,2019,MARCH,684
West Englewood,2019,MARCH,1043
West Lawn,2019,MARCH,2859
West Loop,2019,MARCH,5732
West Pullman,2019,MARCH,1563
West Town,2019,MARCH,5454
"Whitney M. Young, Jr.",2019,MARCH,2003
Woodson Regional Library,2019,MARCH,5524
Wrightwood-Ashburn,2019,MARCH,1526
Downloadable Media,2019,MARCH,152785
Online Renewals,2019,MARCH,342679
Itivia Renewals,2019,MARCH,3539
"Whitney M. Young, Jr.",2020,MARCH,1094
Auto-Renewals,2020,MARCH,703214
Walker,2020,MARCH,963
Albany Park,2020,MARCH,3957
Avalon,2020,MARCH,1798
Brainerd,2020,MARCH,314
Oriole Park,2020,MARCH,3772
Little Italy,2020,MARCH,3249
Edgebrook,2020,MARCH,5378
Kelly,2020,MARCH,561
Edgewater,2020,MARCH,9551
Near North,2020,MARCH,4181
Canaryville,2020,MARCH,984
"Daley, Richard J.- Bridgeport",2020,MARCH,3439
Manning,2020,MARCH,0
Portage-Cragin,2020,MARCH,3519
Greater Grand Crossing,2020,MARCH,768
Scottsdale,2020,MARCH,1246
Altgeld,2020,MARCH,148
West Lawn,2020,MARCH,1835
Back of the Yards,2020,MARCH,1541
Rogers Park,2020,MARCH,5421
Garfield Ridge,2020,MARCH,2942
King,2020,MARCH,1276
Water Works,2020,MARCH,3085
"Daley, Richard M.- W Humboldt",2020,MARCH,1643
Humboldt Park,2020,MARCH,3380
Sulzer Regional Library,2020,MARCH,19560
Blackstone,2020,MARCH,4281
North Austin,2020,MARCH,573
West Town,2020,MARCH,3287
Budlong Woods,2020,MARCH,4696
Lincoln Park,2020,MARCH,7889
West Englewood,2020,MARCH,557
Archer Heights,2020,MARCH,2681
Hegewisch,2020,MARCH,1404
Independence,2020,MARCH,3946
Lozano,2020,MARCH,1732
South Shore,2020,MARCH,1088
Chinatown,2020,MARCH,3024
Douglass,2020,MARCH,577
Logan Square,2020,MARCH,7846
Roden,2020,MARCH,4110
Galewood-Mont Clare,2020,MARCH,345
West Belmont,2020,MARCH,4026
Bucktown-Wicker Park,2020,MARCH,6361
North Pulaski,2020,MARCH,954
McKinley Park,2020,MARCH,3334
Downloadable Media,2020,MARCH,184250
West Pullman,2020,MARCH,1083
Beverly,2020,MARCH,3017
Legler Regional,2020,MARCH,0
Toman,2020,MARCH,3086
Austin,2020,MARCH,809
Wrightwood-Ashburn,2020,MARCH,1016
Jefferson Park,2020,MARCH,4235
Mayfair,2020,MARCH,2079
South Chicago,2020,MARCH,804
Clearing,2020,MARCH,1754
Merlo,2020,MARCH,0
Uptown,2020,MARCH,5655
Chicago Lawn,2020,MARCH,1774
Harold Washington Library Center,2020,MARCH,31090
Brighton Park,2020,MARCH,2327
West Chicago Avenue,2020,MARCH,412
Little Village,2020,MARCH,1659
Lincoln Belmont,2020,MARCH,9198
Gage Park,2020,MARCH,727
Northtown,2020,MARCH,7569
Dunning,2020,MARCH,3017
Bezazian,2020,MARCH,5063
West Loop,2020,MARCH,2853
Pullman,2020,MARCH,551
Patron Initiated renewals (automated phone),2020,MARCH,1323
Jeffery Manor,2020,MARCH,482
Hall,2020,MARCH,990
Mount Greenwood,2020,MARCH,3015
Coleman,2020,MARCH,1032
Austin-Irving,2020,MARCH,4749
Woodson Regional Library,2020,MARCH,3034
Thurgood Marshall,2020,MARCH,872
Chicago Bee,2020,MARCH,537
Vodak-East Side,2020,MARCH,1792
Sherman Park,2020,MARCH,373
Patron Initiated renewals (online),2020,MARCH,41745
Walker,2021,MARCH,850
Albany Park,2021,MARCH,5170
Avalon,2021,MARCH,1241
Brainerd,2021,MARCH,501
Oriole Park,2021,MARCH,4725
Little Italy,2021,MARCH,4237
Edgebrook,2021,MARCH,6690
Kelly,2021,MARCH,303
Edgewater,2021,MARCH,11125
Near North,2021,MARCH,7910
Canaryville,2021,MARCH,0
"Daley, Richard J.- Bridgeport",2021,MARCH,3647
Manning,2021,MARCH,0
Portage-Cragin,2021,MARCH,3681
"Whitney M. Young, Jr.",2021,MARCH,585
Greater Grand Crossing,2021,MARCH,428
Auto-Renewals,2021,MARCH,656125
Scottsdale,2021,MARCH,1185
Altgeld,2021,MARCH,156
West Lawn,2021,MARCH,1538
Back of the Yards,2021,MARCH,1070
Rogers Park,2021,MARCH,6404
Garfield Ridge,2021,MARCH,3093
King,2021,MARCH,930
Water Works,2021,MARCH,0
"Daley, Richard M.- W Humboldt",2021,MARCH,1455
Humboldt Park,2021,MARCH,3211
Sulzer Regional Library,2021,MARCH,24275
Blackstone,2021,MARCH,6948
North Austin,2021,MARCH,549
West Town,2021,MARCH,3596
Budlong Woods,2021,MARCH,5837
Lincoln Park,2021,MARCH,9869
West Englewood,2021,MARCH,238
Archer Heights,2021,MARCH,1858
Hegewisch,2021,MARCH,1004
Independence,2021,MARCH,5989
Lozano,2021,MARCH,2210
South Shore,2021,MARCH,893
Chinatown,2021,MARCH,4009
Douglass,2021,MARCH,347
Logan Square,2021,MARCH,8600
Roden,2021,MARCH,4532
Galewood-Mont Clare,2021,MARCH,0
West Belmont,2021,MARCH,3398
Bucktown-Wicker Park,2021,MARCH,7795
North Pulaski,2021,MARCH,783
McKinley Park,2021,MARCH,2512
Downloadable Media,2021,MARCH,202055
West Pullman,2021,MARCH,591
Beverly,2021,MARCH,2868
Legler Regional,2021,MARCH,421
Toman,2021,MARCH,2159
Austin,2021,MARCH,667
Wrightwood-Ashburn,2021,MARCH,447
Jefferson Park,2021,MARCH,4559
Mayfair,2021,MARCH,2867
South Chicago,2021,MARCH,628
Clearing,2021,MARCH,1465
Merlo,2021,MARCH,7944
Uptown,2021,MARCH,5671
Chicago Lawn,2021,MARCH,1264
Harold Washington Library Center,2021,MARCH,21898
Brighton Park,2021,MARCH,1704
West Chicago Avenue,2021,MARCH,135
Little Village,2021,MARCH,1280
Lincoln Belmont,2021,MARCH,11336
Gage Park,2021,MARCH,0
Northtown,2021,MARCH,9846
Dunning,2021,MARCH,3431
Bezazian,2021,MARCH,5408
West Loop,2021,MARCH,3701
Pullman,2021,MARCH,271
Patron Initiated renewals (automated phone),2021,MARCH,607
Jeffery Manor,2021,MARCH,284
Hall,2021,MARCH,418
Mount Greenwood,2021,MARCH,3261
Coleman,2021,MARCH,883
Austin-Irving,2021,MARCH,5796
Woodson Regional Library,2021,MARCH,1909
Thurgood Marshall,2021,MARCH,728
Chicago Bee,2021,MARCH,506
Vodak-East Side,2021,MARCH,1550
Sherman Park,2021,MARCH,204
Patron Initiated renewals (online),2021,MARCH,31102
West Chicago Avenue,2022,MARCH,284
"Whitney M. Young, Jr.",2022,MARCH,772
Downloadable Media,2022,MARCH,209752
Woodson Regional Library,2022,MARCH,2255
Beverly,2022,MARCH,1250
Archer Heights,2022,MARCH,2628
Manning,2022,MARCH,1026
Blackstone,2022,MARCH,7336
Portage-Cragin,2022,MARCH,3960
West Belmont,2022,MARCH,3272
Avalon,2022,MARCH,1378
Edgewater,2022,MARCH,11340
South Shore,2022,MARCH,950
Legler Regional,2022,MARCH,478
Hall,2022,MARCH,510
Back of the Yards,2022,MARCH,1141
Vodak-East Side,2022,MARCH,1611
Mayfair,2022,MARCH,2641
Auto-Renewals,2022,MARCH,516133
Dunning,2022,MARCH,3669
West Pullman,2022,MARCH,686
Jefferson Park,2022,MARCH,5378
Sherman Park,2022,MARCH,224
Altgeld,2022,MARCH,179
North Austin,2022,MARCH,513
Little Village,2022,MARCH,1547
Near North,2022,MARCH,4761
Water Works,2022,MARCH,2934
Uptown,2022,MARCH,6186
Patron Initiated renewals (automated phone),2022,MARCH,809
Bucktown-Wicker Park,2022,MARCH,8607
Jeffery Manor,2022,MARCH,508
Albany Park,2022,MARCH,5921
West Englewood,2022,MARCH,458
Northtown,2022,MARCH,8881
West Lawn,2022,MARCH,1787
King,2022,MARCH,980
"Daley, Richard M.- W Humboldt",2022,MARCH,1348
Lozano,2022,MARCH,2542
Merlo,2022,MARCH,10186
Little Italy,2022,MARCH,4146
Canaryville,2022,MARCH,1339
Independence,2022,MARCH,6532
Austin,2022,MARCH,667
Scottsdale,2022,MARCH,1629
Lincoln Belmont,2022,MARCH,957
Walker,2022,MARCH,1709
North Pulaski,2022,MARCH,1163
Logan Square,2022,MARCH,10115
Austin-Irving,2022,MARCH,5787
Pullman,2022,MARCH,390
Wrightwood-Ashburn,2022,MARCH,816
Budlong Woods,2022,MARCH,6369
Chicago Lawn,2022,MARCH,1582
Talking Book and Braille downloadable,2022,MARCH,2984
Coleman,2022,MARCH,878
Humboldt Park,2022,MARCH,3554
Douglass,2022,MARCH,451
Clearing,2022,MARCH,1818
Edgebrook,2022,MARCH,6872
Roden,2022,MARCH,5336
Harold Washington Library Center,2022,MARCH,24151
Oriole Park,2022,MARCH,5200
Garfield Ridge,2022,MARCH,3117
Patron Initiated renewals (online),2022,MARCH,28575
Gage Park,2022,MARCH,492
Hegewisch,2022,MARCH,1087
Lincoln Park,2022,MARCH,13204
Greater Grand Crossing,2022,MARCH,591
McKinley Park,2022,MARCH,3982
"Daley, Richard J.- Bridgeport",2022,MARCH,0
West Loop,2022,MARCH,4790
Bezazian,2022,MARCH,6249
Toman,2022,MARCH,2229
Thurgood Marshall,2022,MARCH,755
Sulzer Regional Library,2022,MARCH,29870
Rogers Park,2022,MARCH,7066
Galewood-Mont Clare,2022,MARCH,0
Kelly,2022,MARCH,363
West Town,2022,MARCH,4775
Mount Greenwood,2022,MARCH,4072
Chinatown,2022,MARCH,5316
Brainerd,2022,MARCH,370
Brighton Park,2022,MARCH,1327
South Chicago,2022,MARCH,739
Chicago Bee,2022,MARCH,709
Walker,2023,MARCH,2270
Albany Park,2023,MARCH,5962
Avalon,2023,MARCH,1479
Brainerd,2023,MARCH,421
Oriole Park,2023,MARCH,5691
Little Italy,2023,MARCH,4161
Edgebrook,2023,MARCH,6938
Kelly,2023,MARCH,258
Edgewater,2023,MARCH,11720
Near North,2023,MARCH,6944
Canaryville,2023,MARCH,1179
"Daley, Richard J.- Bridgeport",2023,MARCH,3920
Manning,2023,MARCH,1250
Portage-Cragin,2023,MARCH,4028
"Whitney M. Young, Jr.",2023,MARCH,876
Greater Grand Crossing,2023,MARCH,460
Auto-Renewals,2023,MARCH,557969
Scottsdale,2023,MARCH,1299
Altgeld,2023,MARCH,165
West Lawn,2023,MARCH,2135
Back of the Yards,2023,MARCH,984
Rogers Park,2023,MARCH,7649
Talking Book and Braille downloadable,2023,MARCH,2649
Garfield Ridge,2023,MARCH,3876
King,2023,MARCH,1078
Water Works,2023,MARCH,3329
Downloadable Media,2023,MARCH,263908
"Daley, Richard M.- W Humboldt",2023,MARCH,1346
Humboldt Park,2023,MARCH,3990
Sulzer Regional Library,2023,MARCH,27417
Blackstone,2023,MARCH,7707
North Austin,2023,MARCH,562
West Town,2023,MARCH,5318
Budlong Woods,2023,MARCH,7239
Lincoln Park,2023,MARCH,12793
West Englewood,2023,MARCH,437
Archer Heights,2023,MARCH,2656
Hegewisch,2023,MARCH,969
Independence,2023,MARCH,7620
Lozano,2023,MARCH,2760
South Shore,2023,MARCH,919
Chinatown,2023,MARCH,4704
Douglass,2023,MARCH,460
Logan Square,2023,MARCH,10958
Roden,2023,MARCH,5773
Galewood-Mont Clare,2023,MARCH,0
West Belmont,2023,MARCH,3190
Bucktown-Wicker Park,2023,MARCH,9189
North Pulaski,2023,MARCH,1389
McKinley Park,2023,MARCH,3697
West Pullman,2023,MARCH,851
Beverly,2023,MARCH,3769
Legler Regional,2023,MARCH,800
Toman,2023,MARCH,2037
Austin,2023,MARCH,812
Wrightwood-Ashburn,2023,MARCH,834
Jefferson Park,2023,MARCH,6075
Mayfair,2023,MARCH,3050
South Chicago,2023,MARCH,814
Clearing,2023,MARCH,2101
Merlo,2023,MARCH,9868
Uptown,2023,MARCH,6125
Chicago Lawn,2023,MARCH,1422
Harold Washington Library Center,2023,MARCH,24716
Brighton Park,2023,MARCH,1735
West Chicago Avenue,2023,MARCH,572
Little Village,2023,MARCH,1769
Lincoln Belmont,2023,MARCH,11975
Gage Park,2023,MARCH,858
Northtown,2023,MARCH,8196
Dunning,2023,MARCH,3792
Bezazian,2023,MARCH,6706
West Loop,2023,MARCH,4976
Pullman,2023,MARCH,431
Patron Initiated renewals (automated phone),2023,MARCH,495
Jeffery Manor,2023,MARCH,593
Hall,2023,MARCH,907
Mount Greenwood,2023,MARCH,1899
Coleman,2023,MARCH,1094
Austin-Irving,2023,MARCH,5591
Woodson Regional Library,2023,MARCH,2270
Thurgood Marshall,2023,MARCH,681
Chicago Bee,2023,MARCH,1021
Vodak-East Side,2023,MARCH,1985
Sherman Park,2023,MARCH,310
Patron Initiated renewals (online),2023,MARCH,27661
Albany Park,2019,APRIL,7414
Altgeld,2019,APRIL,270
Archer Heights,2019,APRIL,5349
Austin,2019,APRIL,736
Austin-Irving,2019,APRIL,10541
Avalon,2019,APRIL,3152
Back of the Yards,2019,APRIL,2593
Beverly,2019,APRIL,3974
Bezazian,2019,APRIL,8151
Blackstone,2019,APRIL,8088
Brainerd,2019,APRIL,837
Brighton Park,2019,APRIL,3668
Bucktown-Wicker Park,2019,APRIL,8341
Budlong Woods,2019,APRIL,8191
Canaryville,2019,APRIL,1527
Chicago Bee,2019,APRIL,731
Chicago Lawn,2019,APRIL,3005
Chinatown,2019,APRIL,8221
Clearing,2019,APRIL,2565
Coleman,2019,APRIL,2464
"Daley, Richard J.",2019,APRIL,5508
"Daley, Richard M.",2019,APRIL,2525
Douglass,2019,APRIL,0
Dunning,2019,APRIL,4329
Edgebrook,2019,APRIL,8587
Edgewater,2019,APRIL,14545
Gage Park,2019,APRIL,1055
Galewood-Mont Clare,2019,APRIL,760
Garfield Ridge,2019,APRIL,4517
Greater Grand Crossing,2019,APRIL,1267
Hall,2019,APRIL,1207
HAROLD WASHINGTON LIBRARY CENTER,2019,APRIL,49554
Hegewisch,2019,APRIL,1509
Humboldt Park,2019,APRIL,4966
Independence,2019,APRIL,7706
Jefferson Park,2019,APRIL,0
Jeffery Manor,2019,APRIL,659
Kelly,2019,APRIL,847
King,2019,APRIL,1679
Legler Regional,2019,APRIL,723
Lincoln Belmont,2019,APRIL,14150
Lincoln Park,2019,APRIL,10534
Little Italy,2019,APRIL,5485
Little Village,2019,APRIL,3732
Logan Square,2019,APRIL,10770
Lozano,2019,APRIL,3237
Manning,2019,APRIL,1898
Mayfair,2019,APRIL,3935
McKinley Park,2019,APRIL,5260
Merlo,2019,APRIL,0
Mount Greenwood,2019,APRIL,4624
Near North,2019,APRIL,8367
North Austin,2019,APRIL,995
North Pulaski,2019,APRIL,2677
Northtown,2019,APRIL,10129
Oriole Park,2019,APRIL,5583
Portage-Cragin,2019,APRIL,2688
Pullman,2019,APRIL,1013
Roden,2019,APRIL,6455
Rogers Park,2019,APRIL,9532
Scottsdale,2019,APRIL,2016
Sherman Park,2019,APRIL,595
South Chicago,2019,APRIL,1677
South Shore,2019,APRIL,0
Sulzer Regional Library,2019,APRIL,30611
Thurgood Marshall,2019,APRIL,1753
Toman,2019,APRIL,4473
Uptown,2019,APRIL,7704
Vodak-East Side,2019,APRIL,2581
Walker,2019,APRIL,1381
Water Works,2019,APRIL,4515
West Belmont,2019,APRIL,6818
West Chicago Avenue,2019,APRIL,756
West Englewood,2019,APRIL,1095
West Lawn,2019,APRIL,3038
West Loop,2019,APRIL,4838
West Pullman,2019,APRIL,1343
West Town,2019,APRIL,5075
"Whitney M. Young, Jr.",2019,APRIL,1911
Woodson Regional Library,2019,APRIL,5313
Wrightwood-Ashburn,2019,APRIL,1440
Downloadable Media,2019,APRIL,145498
Online Renewals,2019,APRIL,345215
Itivia Renewals,2019,APRIL,3744
"Whitney M. Young, Jr.",2020,APRIL,0
Auto-Renewals,2020,APRIL,897679
Walker,2020,APRIL,0
Albany Park,2020,APRIL,0
Avalon,2020,APRIL,0
Brainerd,2020,APRIL,0
Oriole Park,2020,APRIL,0
Little Italy,2020,APRIL,0
Edgebrook,2020,APRIL,0
Kelly,2020,APRIL,0
Edgewater,2020,APRIL,0
Near North,2020,APRIL,0
Canaryville,2020,APRIL,0
"Daley, Richard J.- Bridgeport",2020,APRIL,0
Manning,2020,APRIL,0
Portage-Cragin,2020,APRIL,0
Greater Grand Crossing,2020,APRIL,0
Scottsdale,2020,APRIL,0
Altgeld,2020,APRIL,0
West Lawn,2020,APRIL,0
Back of the Yards,2020,APRIL,0
Rogers Park,2020,APRIL,1
Garfield Ridge,2020,APRIL,0
King,2020,APRIL,0
Water Works,2020,APRIL,0
"Daley, Richard M.- W Humboldt",2020,APRIL,0
Humboldt Park,2020,APRIL,0
Sulzer Regional Library,2020,APRIL,0
Blackstone,2020,APRIL,0
North Austin,2020,APRIL,0
West Town,2020,APRIL,0
Budlong Woods,2020,APRIL,0
Lincoln Park,2020,APRIL,0
West Englewood,2020,APRIL,0
Archer Heights,2020,APRIL,0
Hegewisch,2020,APRIL,0
Independence,2020,APRIL,0
Lozano,2020,APRIL,2
South Shore,2020,APRIL,0
Chinatown,2020,APRIL,0
Douglass,2020,APRIL,0
Logan Square,2020,APRIL,0
Roden,2020,APRIL,0
Galewood-Mont Clare,2020,APRIL,0
West Belmont,2020,APRIL,0
Bucktown-Wicker Park,2020,APRIL,0
North Pulaski,2020,APRIL,0
McKinley Park,2020,APRIL,0
Downloadable Media,2020,APRIL,213490
West Pullman,2020,APRIL,0
Beverly,2020,APRIL,0
Legler Regional,2020,APRIL,0
Toman,2020,APRIL,0
Austin,2020,APRIL,0
Wrightwood-Ashburn,2020,APRIL,0
Jefferson Park,2020,APRIL,0
Mayfair,2020,APRIL,0
South Chicago,2020,APRIL,0
Clearing,2020,APRIL,0
Merlo,2020,APRIL,0
Uptown,2020,APRIL,0
Chicago Lawn,2020,APRIL,0
Harold Washington Library Center,2020,APRIL,275
Brighton Park,2020,APRIL,0
West Chicago Avenue,2020,APRIL,0
Little Village,2020,APRIL,0
Lincoln Belmont,2020,APRIL,0
Gage Park,2020,APRIL,0
Northtown,2020,APRIL,19
Dunning,2020,APRIL,0
Bezazian,2020,APRIL,1
West Loop,2020,APRIL,0
Pullman,2020,APRIL,0
Patron Initiated renewals (automated phone),2020,APRIL,907
Jeffery Manor,2020,APRIL,0
Hall,2020,APRIL,0
Mount Greenwood,2020,APRIL,0
Coleman,2020,APRIL,0
Austin-Irving,2020,APRIL,0
Woodson Regional Library,2020,APRIL,0
Thurgood Marshall,2020,APRIL,0
Chicago Bee,2020,APRIL,0
Vodak-East Side,2020,APRIL,0
Sherman Park,2020,APRIL,0
Patron Initiated renewals (online),2020,APRIL,12394
Walker,2021,APRIL,803
Albany Park,2021,APRIL,4864
Avalon,2021,APRIL,1264
Brainerd,2021,APRIL,60
Oriole Park,2021,APRIL,4339
Little Italy,2021,APRIL,3465
Edgebrook,2021,APRIL,6451
Kelly,2021,APRIL,270
Edgewater,2021,APRIL,10500
Near North,2021,APRIL,7329
Canaryville,2021,APRIL,0
"Daley, Richard J.- Bridgeport",2021,APRIL,3708
Manning,2021,APRIL,0
